	Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Array Data File
168	hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	2	hour	003016016001.CEL
169	hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	2	hour	003016016002.CEL
170	hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	8	hour	003016016009.CEL
171	hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	8	hour	003016016010.CEL
172	hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	24	hour	003016016017.CEL
173	hepatocyte	Homo sapiens	acetaminophen	Control	0	micromolar	24	hour	003016016018.CEL
174	hepatocyte	Homo sapiens	acetaminophen	Low	200	micromolar	2	hour	003016016003.CEL
175	hepatocyte	Homo sapiens	acetaminophen	Low	200	micromolar	2	hour	003016016004.CEL
176	hepatocyte	Homo sapiens	acetaminophen	Low	200	micromolar	8	hour	003016016011.CEL
177	hepatocyte	Homo sapiens	acetaminophen	Low	200	micromolar	8	hour	003016016012.CEL
178	hepatocyte	Homo sapiens	acetaminophen	Low	200	micromolar	24	hour	003016016019.CEL
179	hepatocyte	Homo sapiens	acetaminophen	Low	200	micromolar	24	hour	003016016020.CEL
180	hepatocyte	Homo sapiens	acetaminophen	Middle	1000	micromolar	2	hour	003016016005.CEL
181	hepatocyte	Homo sapiens	acetaminophen	Middle	1000	micromolar	2	hour	003016016006.CEL
182	hepatocyte	Homo sapiens	acetaminophen	Middle	1000	micromolar	8	hour	003016016013.CEL
183	hepatocyte	Homo sapiens	acetaminophen	Middle	1000	micromolar	8	hour	003016016014.CEL
184	hepatocyte	Homo sapiens	acetaminophen	Middle	1000	micromolar	24	hour	003016016021.CEL
185	hepatocyte	Homo sapiens	acetaminophen	Middle	1000	micromolar	24	hour	003016016022.CEL
186	hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	2	hour	003016016007.CEL
187	hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	2	hour	003016016008.CEL
188	hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	8	hour	003016016015.CEL
189	hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	8	hour	003016016016.CEL
190	hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	24	hour	003016016023.CEL
191	hepatocyte	Homo sapiens	acetaminophen	High	5000	micromolar	24	hour	003016016024.CEL
192	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	3	hour	003017644018.CEL
193	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	3	hour	003017644019.CEL
194	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	3	hour	003017644020.CEL
195	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	6	hour	003017644030.CEL
196	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	6	hour	003017645001.CEL
197	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	6	hour	003017645002.CEL
198	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	9	hour	003017645012.CEL
199	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	9	hour	003017645013.CEL
200	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	9	hour	003017645014.CEL
201	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017645024.CEL
202	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017645025.CEL
203	liver	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017645026.CEL
204	liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	3	hour	003017644021.CEL
205	liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	3	hour	003017644022.CEL
206	liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	3	hour	003017644023.CEL
207	liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	6	hour	003017645003.CEL
208	liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	6	hour	003017645004.CEL
209	liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	6	hour	003017645005.CEL
210	liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	9	hour	003017645015.CEL
211	liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	9	hour	003017645016.CEL
212	liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	9	hour	003017645017.CEL
213	liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	24	hour	003017645027.CEL
214	liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	24	hour	003017645028.CEL
215	liver	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	24	hour	003017645029.CEL
216	liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	3	hour	003017644024.CEL
217	liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	3	hour	003017644025.CEL
218	liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	3	hour	003017644026.CEL
219	liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	6	hour	003017645006.CEL
220	liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	6	hour	003017645007.CEL
221	liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	6	hour	003017645008.CEL
222	liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017645018.CEL
223	liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017645019.CEL
224	liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	9	hour	003017645020.CEL
225	liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017645030.CEL
226	liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017646001.CEL
227	liver	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	24	hour	003017646002.CEL
228	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017644027.CEL
229	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017644028.CEL
230	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	3	hour	003017644029.CEL
231	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017645009.CEL
232	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017645010.CEL
233	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	6	hour	003017645011.CEL
234	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017645021.CEL
235	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017645022.CEL
236	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	9	hour	003017645023.CEL
237	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017646003.CEL
238	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017646004.CEL
239	liver	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017646005.CEL
240	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	3	hour	003017804015.CEL
241	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	3	hour	003017804016.CEL
242	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	3	hour	003017804017.CEL
243	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	6	hour	003017808009.CEL
244	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	6	hour	003017808010.CEL
245	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	6	hour	003017808011.CEL
246	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	9	hour	003017811019.CEL
247	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	9	hour	003017811020.CEL
248	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	9	hour	003017811021.CEL
249	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017814021.CEL
250	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017814022.CEL
251	kidney	Rattus norvegicus	acetaminophen	Control	0	milligram per kilogram	24	hour	003017814023.CEL
252	kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	3	hour	003017804018.CEL
253	kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	3	hour	003017804019.CEL
254	kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	3	hour	003017804020.CEL
255	kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	6	hour	003017808012.CEL
256	kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	6	hour	003017808013.CEL
257	kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	6	hour	003017808014.CEL
258	kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	9	hour	003017811022.CEL
259	kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	9	hour	003017811023.CEL
260	kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	9	hour	003017811024.CEL
261	kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	24	hour	003017814024.CEL
262	kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	24	hour	003017814025.CEL
263	kidney	Rattus norvegicus	acetaminophen	Low	300	milligram per kilogram	24	hour	003017814026.CEL
264	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	3	hour	003017804021.CEL
265	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	3	hour	003017804022.CEL
266	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	3	hour	003017804023.CEL
267	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	6	hour	003017808015.CEL
268	kidney	Rattus norvegicus	acetaminophen	Middle	600	milligram per kilogram	6	hour	003017808016.CEL
