Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Array Data File
hepatocyte	Homo sapiens	acarbose	Control	0	micromolar	8	hour	003016078008.CEL
hepatocyte	Homo sapiens	acarbose	Control	0	micromolar	8	hour	003016079016.CEL
hepatocyte	Homo sapiens	acarbose	Control	0	micromolar	24	hour	003016078013.CEL
hepatocyte	Homo sapiens	acarbose	Control	0	micromolar	24	hour	003016078014.CEL
hepatocyte	Homo sapiens	acarbose	Middle	2000	micromolar	8	hour	003016078009.CEL
hepatocyte	Homo sapiens	acarbose	Middle	2000	micromolar	8	hour	003016078010.CEL
hepatocyte	Homo sapiens	acarbose	Middle	2000	micromolar	24	hour	003016078016.CEL
hepatocyte	Homo sapiens	acarbose	Middle	2000	micromolar	24	hour	003016079018.CEL
hepatocyte	Homo sapiens	acarbose	High	10000	micromolar	8	hour	003016078011.CEL
hepatocyte	Homo sapiens	acarbose	High	10000	micromolar	8	hour	003016079017.CEL
hepatocyte	Homo sapiens	acarbose	High	10000	micromolar	24	hour	003016078017.CEL
hepatocyte	Homo sapiens	acarbose	High	10000	micromolar	24	hour	003016078018.CEL
liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	3	hour	003017401004.CEL
liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	3	hour	003017401005.CEL
liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	3	hour	003017401006.CEL
liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	6	hour	003017401016.CEL
liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	6	hour	003017401017.CEL
liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	6	hour	003017401018.CEL
liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	9	hour	003017400010.CEL
liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	9	hour	003017400011.CEL
liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	9	hour	003017400012.CEL
liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	24	hour	003017400022.CEL
