Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]
hepatocyte	Homo sapiens	acarbose
hepatocyte	Homo sapiens	acarbose
hepatocyte	Homo sapiens	acarbose
hepatocyte	Homo sapiens	acarbose
hepatocyte	Homo sapiens	acarbose
hepatocyte	Homo sapiens	acarbose
hepatocyte	Homo sapiens	acarbose
hepatocyte	Homo sapiens	acarbose
hepatocyte	Homo sapiens	acarbose
hepatocyte	Homo sapiens	acarbose
hepatocyte	Homo sapiens	acarbose
hepatocyte	Homo sapiens	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
liver	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Rattus norvegicus	acarbose
hepatocyte	Homo sapiens	acetamidofluorene
hepatocyte	Homo sapiens	acetamidofluorene
hepatocyte	Homo sapiens	acetamidofluorene
hepatocyte	Homo sapiens	acetamidofluorene
hepatocyte	Homo sapiens	acetamidofluorene
hepatocyte	Homo sapiens	acetamidofluorene
hepatocyte	Homo sapiens	acetamidofluorene
hepatocyte	Homo sapiens	acetamidofluorene
hepatocyte	Homo sapiens	acetamidofluorene
hepatocyte	Homo sapiens	acetamidofluorene
hepatocyte	Homo sapiens	acetamidofluorene
hepatocyte	Homo sapiens	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
liver	Rattus norvegicus	acetamidofluorene
hepatocyte	Rattus norvegicus	acetamidofluorene
hepatocyte	Rattus norvegicus	acetamidofluorene
