	Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Array Data File
2	hepatocyte	Homo sapiens	acarbose	Control	0	micromolar	24	hour	003016078013.CEL
3	hepatocyte	Homo sapiens	acarbose	Control	0	micromolar	24	hour	003016078014.CEL
10	hepatocyte	Homo sapiens	acarbose	High	10000	micromolar	24	hour	003016078017.CEL
11	hepatocyte	Homo sapiens	acarbose	High	10000	micromolar	24	hour	003016078018.CEL
21	liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	24	hour	003017400022.CEL
22	liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	24	hour	003017400023.CEL
23	liver	Rattus norvegicus	acarbose	Control	0	milligram per kilogram	24	hour	003017400024.CEL
57	liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	24	hour	003017401001.CEL
58	liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	24	hour	003017401002.CEL
59	liver	Rattus norvegicus	acarbose	High	1000	milligram per kilogram	24	hour	003017402020.CEL
64	hepatocyte	Rattus norvegicus	acarbose	Control	0	micromolar	24	hour	003017337019.CEL
65	hepatocyte	Rattus norvegicus	acarbose	Control	0	micromolar	24	hour	003017337020.CEL
82	hepatocyte	Rattus norvegicus	acarbose	High	10000	micromolar	24	hour	003017337025.CEL
83	hepatocyte	Rattus norvegicus	acarbose	High	10000	micromolar	24	hour	003017337026.CEL
86	hepatocyte	Homo sapiens	acetamidofluorene	Control	0	micromolar	24	hour	003016083002.CEL
87	hepatocyte	Homo sapiens	acetamidofluorene	Control	0	micromolar	24	hour	003016083003.CEL
94	hepatocyte	Homo sapiens	acetamidofluorene	High	50	micromolar	24	hour	003016083006.CEL
95	hepatocyte	Homo sapiens	acetamidofluorene	High	50	micromolar	24	hour	003016083007.CEL
105	liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	24	hour	003017583008.CEL
106	liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	24	hour	003017583009.CEL
107	liver	Rattus norvegicus	acetamidofluorene	Control	0	milligram per kilogram	24	hour	003017583010.CEL
141	liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	24	hour	003017583017.CEL
142	liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	24	hour	003017583018.CEL
143	liver	Rattus norvegicus	acetamidofluorene	High	1000	milligram per kilogram	24	hour	003017583019.CEL
148	hepatocyte	Rattus norvegicus	acetamidofluorene	Control	0	micromolar	24	hour	003017362021.CEL
